id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
1,22,24721,1,50,0,20,20,20,22,1.79,1,3,0,56293,-2.2,1,24,1,2,17,21,,23,,1,1,0,1,0.91,4,18,2,1,2,2
2,,13614.2,1,0,40,0,0,0,8,1.79,1,,40,21275,3.2,2,6,1,-2,16,7,8,14,45,1,1,0,1,1,6,30,2,2,2,2
3,25,8447.4,1,0,10,0,0,10,4,0.55,1,3,40,,3.6,2,3,7,-1,18,8,9,16,51,1,1,0,1,1,10,50,2,2,2,2
4,19,9728.6,1,10,10,10,10,0,8,0.45,1,3,10,39647,0.2,1,8,1,0,16,7,8,24,55,1,1,0,1,0.91,11,54,2,1,2,2
5,23,18690.5,1,30,30,40,40,30,34,0.55,2,3,0,42680,-3.4,2,35,1,1,13,14,16,15,58,1,2,0,1,1,3,16,2,2,2,2
6,19,14301.2,1,0,0,0,0,0,0,0,1,3,0,33732,0,2,0,4,0,19,18,5,18,60,1,2,0,1,1,8,35,2,2,2,2
7,21,15783.8,1,0,0,0,0,0,0,0,1,5,0,70364,0,2,0,7,0,10,20,17,15,62,1,2,0,1,1,1,1,2,2,2,2
8,26,5775.6,1,0,0,0,0,0,0,0,1,5,0,23430,0,1,0,4,0,17,18,13,19,67,1,2,0,1,1,5,26,2,1,2,2
9,20,10515.6,1,0,0,0,0,0,0,0,1,3,0,32112,0,1,0,4,0,16,24,11,18,69,1,2,0,1,1,12,56,2,1,2,2
10,,14731.4,1,0,0,0,0,0,0,0,1,3,0,17179,0,,0,7,0,14,25,17,14,70,1,2,1,1,0.91,2,8,2,2,2,2
11,24,8001.4,1,0,0,0,0,0,0,0,1,3,0,21721,0,2,0,1,0,18,18,16,23,75,1,2,0,1,1,7,32,2,2,2,2
12,20,18166.6,1,0,0,0,0,0,0,0,1,2,0,88345,0,2,0,4,0,20,16,18,22,76,1,1,0,1,1,11,51,2,2,2,2
13,25,9571.6,1,0,20,10,30,0,12,1.3,1,5,20,30353,0.8,1,20,1,8,20,22,15,20,77,1,1,0,1,0.91,2,7,2,1,2,2
14,,13808.8,1,30,30,40,20,30,30,0.71,2,3,50,24517,2,1,30,4,0,24,21,22,10,77,1,2,0,1,0.91,1,4,2,1,2,2
15,21,10669.8,1,20,30,30,20,20,24,0.55,2,3,20,26277,-0.4,1,25,6,1,21,21,14,22,78,1,1,0,1,0.91,9,43,2,1,2,2
16,20,13325,1,40,40,40,40,40,40,0,2,3,40,38462,0,1,40,1,0,22,19,15,22,78,1,2,0,1,0.82,11,52,2,1,2,2
17,20,5553.2,1,20,30,40,10,0,20,1.58,1,3,30,7587,1,1,25,7,5,21,21,16,21,79,1,1,0,1,1,9,46,2,1,2,2
18,22,11518.2,1,10,20,20,30,80,32,2.77,2,3,50,24993,1.8,1,20,1,-12,14,20,19,27,80,1,2,0,1,0.55,8,37,2,1,2,2
