id,studytime,bottest_filter,comp1,comp2,fairQ,fairQ_rt,dg1,dg1_rt,dg2,dg2_rt,dg3,dg3_rt,dg4,dg4_rt,dg5,dg5_rt,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,test,Guess,memQrt,conf,pos,hap,goodness,moral,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,gender,age,deception1,deception2,feedback_excl,Numeracy
1,0:06,1,1,0,0,5.425,0,3.011,0,2.356,0,1.957,0,1.883,0,1.935,500,10,0.1,1,2,2%,1 in 50,10,100,20,0.05,1,9%,64%,1,1,0,2.655,7,2,2,5,5,0,0,0,0,0,1,0,0,0,0,1,53,4,1,1,11
2,0:10,1,1,1,30,7.556,30,5.885,30,2.239,30,3.103,30,3.967,30,10.359,500,10,0.1,1,2,2% in ten years,2 in 100 in ten years,10,100,20,5,1,50%,64%,3,1,30,5.588,7,6,6,7,7,0,1,0,0,0,1,0,0,0,0,1,42,4,1,1,11
3,0:19,1,1,1,30,7.06,20,3.91,20,2.164,20,1.933,20,2.469,20,1.965,500,10,1,1,2,2,2,10,100,20,5,1,50%,64,2,1,20,7.189,6,4,4,4,4,1,0,1,1,1,1,1,1,1,1,1,32,4,1,1,11
4,0:06,1,1,0,10,8.078,30,3.459,30,4.16,20,4.973,30,3.523,10,4.05,500,10,0.01,1,2,2,2,10,100,20,0.0001,1,50,64,1,1,90,8.748,4,3,2,7,7,1,1,0,0,0,1,0,1,0,0,1,25,4,1,1,11
5,0:11,1,1,1,30,6.51,30,8.966,30,1.805,30,1.656,30,1.625,30,1.582,500,10,0.01,1,2,2,1 in 50,10,100,20,5,1,9,64,1,1,30,4.542,7,6,6,5,5,1,1,0,0,0,0,0,1,0,1,2,29,4,1,1,13
6,0:10,1,1,1,40,7.566,50,5.495,50,4.522,50,4.638,50,3.957,50,3.036,500,10,0.1,1,2,2,2 in 100,10,100,20,50,1,90,64,2,1,50,11.301,7,6,6,5,6,1,1,1,0,0,1,0,1,0,1,1,41,4,1,1,10
7,0:07,1,1,1,50,8.285,50,3.457,50,2.222,50,1.956,50,2.485,50,2.444,500,10,0.1,1,2,2,1 in 50,10,100,20,5,1,9,64,2,1,50,4.555,7,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,22,4,1,1,11
8,0:08,1,1,1,50,4.984,50,1.971,50,1.426,50,1.636,50,1.509,50,1.151,500,10,0.1,1,2,2,2,10,100,20,1,1,90,64,3,0,50,2.126,7,6,6,5,5,0,1,0,0,0,0,0,1,0,1,2,30,4,1,1,10
9,0:08,1,0,1,30,8.343,50,3.402,50,0.91,50,1.12,50,3.721,50,0.818,500,10,0.1,1,2,2% in ten years,2 in 100 in ten years,10,100,20,5,1,50%,64%,1,1,50,5.256,7,5,4,4,4,1,1,0,0,0,1,0,1,0,1,1,35,4,1,1,12
10,0:07,1,1,1,50,15.226,0,13.715,0,4.921,40,6.209,30,1.559,20,2.188,500,100,0.1,1,2,2% in ten years,2 in 100,10,100,20,5,1,10,16,1,0,11,5.236,4,3,2,2,3,0,0,0,1,0,1,0,0,1,1,1,25,4,1,1,10
11,0:07,1,1,1,10,7.441,0,18.538,0,1.779,0,1.023,0,3.757,0,0.972,500,10,0.1,1,2,2,2,10,100,20,5,1,50,128,3,1,0,2.046,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,28,4,1,1,10
12,0:07,1,1,1,50,4.212,50,20.773,50,3.372,50,22.299,50,47.991,50,6.384,500,10,0.01,1,2,2,2,10,100,20,5,1,18,10,1,1,50,4.251,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,30,4,1,1,11
13,0:11,1,1,0,50,5.433,50,3.305,50,2.513,50,1.881,50,9.125,50,4.16,500,10,0.1,1,2,2,1 in 50,10,100,20,5,1,50%,64%,3,1,50,2.806,6,4,2,4,3,1,1,1,0,0,1,1,0,0,0,1,26,4,1,1,11
14,0:09,1,1,1,10,6.846,20,5.828,10,2.611,30,4.904,20,2.308,20,2.247,500,10,0.1,1,2,2,1 in 50,10,100,20,5,1,90,64,2,1,20,7.661,5,4,4,5,5,1,1,0,1,0,0,0,0,0,0,1,23,4,1,1,11
15,0:11,1,1,1,40,7.965,50,4.209,50,5.427,50,3.473,50,3.468,50,3.266,500,10,0.001,1,2,2,1 in 200 in ten years,10,100,20,5,1,50%,64,3,1,50,3.953,7,7,7,6,6,1,1,1,0,0,0,1,1,0,1,1,38,4,1,1,11
16,0:17,1,1,1,50,8.464,50,2.986,50,4.991,50,10.852,50,3.638,50,2.203,600,1,0.001,1,2,2%,2 in 100,10,100,20,5,1,19%,64%,3,1,50,3.711,7,6,5,6,6,0,1,1,0,0,0,0,0,0,0,1,25,4,1,1,10
17,0:05,1,1,0,10,6.691,0,2.466,0,1.569,0,1.868,0,1.308,0,1.581,500,10,10,1,2,1,1,10,100,20,5,1,10,5,3,1,0,8.385,7,5,6,5,5,1,1,0,1,1,1,0,0,0,1,1,24,4,1,1,8
18,0:05,1,1,1,30,4.966,30,4.802,30,1.957,30,1.629,30,1.727,30,2.139,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,90%,64%,3,1,30,3.184,7,5,5,6,6,1,1,1,1,1,1,1,1,0,1,1,26,4,1,1,12
19,0:06,1,0,1,50,6.893,50,3.442,50,2.488,50,2.402,50,2.808,50,2.501,500,10,0.1,1,2,2,2,10,100,20,5,1,18,64,2,1,50,3.085,7,6,6,5,5,0,0,0,0,1,0,0,1,0,0,1,28,4,1,1,11
20,0:04,1,1,1,50,2.616,50,5.365,50,2.471,50,2.168,50,2.396,50,1.546,500,10,0.1,1,2,2,1,10,100,20,5,1,9,2,2,0,56,2.067,4,4,4,4,4,1,1,1,1,1,0,0,0,0,0,1,34,4,1,1,10
21,0:06,1,1,0,20,4.965,0,4.292,0,2.015,0,1.528,0,1.752,0,1.645,500,10,0.1,1,2,2,2,10,100,20,5,1,18-Sep,64,1,1,0,3.192,7,3,3,6,6,1,0,1,1,0,0,1,0,0,0,2,69,4,1,1,12
22,0:06,1,1,1,20,5.682,20,8.156,20,12.597,20,1.923,20,2.088,30,1.159,4550,10,1,1,2,3,5,10,100,20,5,1,8,3,2,1,22,2.02,6,7,7,7,7,1,1,0,0,0,0,0,0,0,0,1,36,4,1,1,7
23,0:07,1,1,1,0,6.757,0,3.782,0,3.181,0,2.87,0,2.649,0,2.48,500,10,0.1,1,2,2,2 in 100,10,100,20,5,1,50%,64%,1,1,0,6.034,7,2,2,5,5,0,1,0,0,0,1,1,1,1,0,1,28,4,1,1,12
24,0:08,1,1,0,10,5.086,30,44.414,30,17.003,30,2.951,30,5.122,30,3.016,500,10,0.1,1,2,2,1 in 50,10,100,20,0.5,1,80,64,3,1,30,3.002,7,3,4,6,5,1,1,0,0,0,1,1,1,0,0,2,25,4,1,1,10
25,0:06,1,1,0,50,5.971,50,3.575,50,3.277,50,2.836,50,5.567,50,2.091,500,10,0.1,1,2,2%,2 in 100,10,100,20,5,1,90%,64,1,1,50,2.874,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,39,4,1,1,13
26,0:08,1,1,1,50,1.869,60,13.895,60,17.401,40,2.94,40,1.848,50,1.577,500,0.01,0.01,1,2,1% in 5 years,1 in 100 in 20 years,10,1,20,5,1,10,16,3,1,54,2.084,5,5,5,6,5,1,1,0,1,1,1,0,1,0,1,2,53,4,1,1,8
27,0:08,1,1,1,40,5.968,40,3.278,40,2.468,40,2.137,40,2.54,40,2.433,500,10,0.10%,1,2,2%,2 in 100,10,100,20,0,1,9 out of 10,64%,1,1,40,6.134,7,5,5,6,7,1,1,0,0,0,0,1,1,0,0,1,20,4,1,1,13
28,0:05,1,1,1,50,5.428,20,5.397,20,11.142,20,2.859,20,2.091,20,2.37,555,10,1,1,2,2,2 in 200,10,1,20,1,1,9,11,2,1,20,4.128,5,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,36,4,1,1,7
29,0:06,1,1,1,0,7.544,0,2.143,0,2.166,0,2.778,0,1.927,0,1.49,500,10,0.1,1,2,2,2,10,100,20,5,1,50,64,1,1,0,2.788,7,4,4,4,4,1,1,1,0,0,0,0,0,0,0,1,32,4,1,0,12
30,0:09,1,1,1,50,8.044,50,3.191,50,2.697,50,1.916,50,1.991,50,1.931,500,10,0.001,1,2,2,2,10,100,20,5,1,50,64,1,0,50,7.643,7,3,3,5,4,0,1,0,0,0,0,0,0,0,0,1,41,4,1,1,13
31,0:09,1,1,1,0,9.357,10,3.192,10,2.581,0,2.685,10,1.042,0,1.707,500,10,1,1,2,2,1 in 50,10,100,20,5,1,90%,128%,3,1,5,10.976,6,4,3,4,5,0,0,0,0,0,0,0,0,0,0,2,21,4,1,1,11
32,0:07,1,1,1,60,2.328,60,1.732,40,2.244,60,1.47,30,1.345,20,1.196,500,10,10,1,2,2,2 in 100,10,1,20,10,1,3,2,2,0,75,3.148,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,30,4,1,1,8
33,0:06,1,1,0,30,10.206,40,3.634,30,2.805,60,2.037,50,2.027,50,2.879,500,10,0.1,1,2,2,2 in 100,10,100,20,5,1,90,64,3,1,46,4.165,7,5,4,4,5,1,1,1,0,0,0,0,1,0,1,1,40,4,1,1,11
34,0:07,1,1,1,0,7.057,0,4.959,0,1.468,0,1.975,0,1.721,0,3.33,500,10,0.1,1,2,2%,2 in  100,10,100,20,5,1,9,64,1,1,0,10.579,7,1,1,4,4,1,1,0,0,0,0,0,1,0,0,1,59,4,2,1,13
35,0:08,1,1,1,10,9.052,0,28.342,0,4.637,0,2.83,0,10.282,0,4.239,375,10,10,1,2,5,5,10,100,20,5,1,50,20,1,0,0,5.123,7,7,7,5,5,0,0,0,0,0,0,0,0,0,0,2,35,4,1,1,8
36,0:08,1,1,0,20,8.963,30,6.832,20,3.937,10,2.83,20,3.474,20,4.849,500,10,0.1,1,2,2,50,10,100,20,5,1,12,50,2,1,17,11.216,5,6,6,6,7,1,1,0,0,1,0,1,1,0,0,1,37,4,1,1,9
37,0:09,1,1,1,50,3.161,50,9.849,50,2.217,20,2.016,50,2.009,50,3.087,500,20,5,1,2,2,2,10,100,5,10,1,20,64,2,1,50,6.053,4,1,1,7,7,1,1,1,0,0,0,0,1,0,0,1,36,4,1,1,8
38,0:07,1,1,1,30,5.568,20,3.926,20,3.477,0,1.815,0,1.753,50,2.451,500,10,0.01,1,2,2,2,10,100,20,0.05,1,90,64,3,1,25,11.551,3,4,4,5,5,1,0,0,0,0,0,0,1,0,0,1,30,4,1,1,10
39,0:07,1,1,1,0,6.982,0,3.161,0,2.424,0,2.428,0,2.754,0,1.996,500,10,0.1,1,2,2%,2 in 100 in ten years,10,100,20,5,1,50%,64%,1,1,0,6.024,7,5,4,5,6,1,1,0,0,0,1,1,0,0,0,1,29,4,1,1,12
40,0:08,1,1,1,50,6.155,10,6.053,20,4.643,10,4.809,10,2.102,20,1.848,200,10,0.10%,2,2,2%,2 in 100,10,100,20,5,2,9%,64%,3,1,12,6.348,6,7,7,7,7,1,1,1,0,1,1,1,1,0,0,1,32,4,1,1,10
41,0:09,1,1,1,10,6.865,0,3.526,0,1.913,0,2.418,0,1.458,0,2.212,500,10,0.1,1,2,2,2 in 100,10,100,20,5,1,9,100,1,1,0,7.228,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,32,4,1,1,12
