id,StartDate,EndDate,studytime,bottest_filter,hand_w,discomfort1_1,discomfort1_2,discomfort1_3,discomfort1_4,discomfort1_5,discomfort1_6,discomfort1_7,discomfort1_8,dginstrux,comp2,fairQ_1,fairQ_rt_First Click,fairQ_rt_Last Click,fairQ_rt_Page Submit,fairQ_rt_Click Count,assignrt_First Click,assignrt_Last Click,assignrt_Page Submit,assignrt_Click Count,r1rt_First Click,r1rt_Last Click,r1rt_Page Submit,r1rt_Click Count,dg1_1,dg1_rt_First Click,dg1_rt_Last Click,dg1_rt_Page Submit,dg1_rt_Click Count,r2rt_First Click,r2rt_Last Click,r2rt_Page Submit,r2rt_Click Count,dg2_1,dg2_rt_First Click,dg2_rt_Last Click,dg2_rt_Page Submit,dg2_rt_Click Count,r3rt_First Click,r3rt_Last Click,r3rt_Page Submit,r3rt_Click Count,dg3_1,dg3_rt_First Click,dg3_rt_Last Click,dg3_rt_Page Submit,dg3_rt_Click Count,r4rt_First Click,r4rt_Last Click,r4rt_Page Submit,r4rt_Click Count,dg4_1,dg4_rt_First Click,dg4_rt_Last Click,dg4_rt_Page Submit,dg4_rt_Click Count,r5rt_First Click,r5rt_Last Click,r5rt_Page Submit,r5rt_Click Count,dg5_1,dg5_rt_First Click,dg5_rt_Last Click,dg5_rt_Page Submit,dg5_rt_Click Count,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,compcheck,memQ_4,memQrt_First Click,memQrt_Last Click,memQrt_Page Submit,memQrt_Click Count,conf,discomfort3_1,discomfort3_2,discomfort3_3,discomfort3_4,discomfort3_5,discomfort3_6,discomfort3_7,discomfort3_8,responsible,gender,age,deception1,deception2,feedbackexcl,Numeracy
1,6/21/19 19:18,6/21/19 19:24,0:06,1,"If you can't be there in person, send a letter.",1,1,2,6,6,4,6,6,I have carefully read and understand the instructions above.,FALSE,10,8.398,11.236,11.939,4,0,0,2.108,0,0,0,3.007,0,0,2.979,2.979,3.826,1,0,0,3.008,0,0,2.972,4.054,5.087,2,0,0,3.008,0,10,0.891,2.002,2.598,2,0,0,3.108,0,10,1.363,1.363,2.095,1,0,0,3.052,0,10,1.661,1.661,2.258,1,500,10,0.01,1 in 10,10%,2,1 in 50,10,100,20,5,1 in 12 chance,9%,64%,"They both tested positive for SARS, and the doctor is more likely to have the disease",Report the average percent of the stake that you recall transferring,4,4.364,7.444,8.409,2,7,2,2,2,5,6,5,6,6,7,Male,19,1,1,1,12
2,6/21/19 19:23,6/21/19 19:31,0:08,1,"If you can't be there in person, send a letter.",1,1,1,7,7,7,7,7,I have carefully read and understand the instructions above.,FALSE,50,3.509,4.932,7.213,2,0,0,2.106,0,0,0,3.007,0,50,2.386,2.386,3.182,1,0,0,3.106,0,50,2.079,2.079,2.86,1,0,0,3.007,0,50,2.141,2.141,3.012,1,0,0,3.107,0,50,1.72,1.72,2.487,1,0,0,3.007,0,50,1.921,1.921,2.935,1,500,10,0.1,1 in 10,10%,2%,2 in 100,10,100,20,5,1 in 12 chance,50,64%,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,50,2.383,2.383,3.579,1,7,1,1,1,7,7,7,7,7,7,Male,26,1,1,1,14
3,6/21/19 19:24,6/21/19 19:31,0:07,1,"If you can't be there in person, send a letter.",5,5,6,3,5,3,2,1,I have carefully read and understand the instructions above.,FALSE,0,6.869,6.869,8.01,1,0,0,2.023,0,0,0,3.015,0,0,4.319,4.319,5.071,1,0,0,3.017,0,0,1.635,2.884,3.701,2,0,0,3.011,0,0,0.941,0.941,1.639,1,0,0,3.016,0,0,0.636,0.636,1.61,1,0,0,3.015,0,0,0.715,0.715,1.501,1,500,10,0.1,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,50,64,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,0,1.102,2.873,3.724,3,7,2,2,5,5,7,5,3,2,7,Female,28,1,1,1,14
4,6/21/19 19:18,6/21/19 19:32,0:14,1,"If you can't be there in person,send a letter.",1,1,1,3,6,4,3,4,I have carefully read and understand the instructions above.,TRUE,50,4.339,5.644,6.242,2,0,0,2.112,0,0,0,3.011,0,50,4.079,4.079,5.448,1,0,0,3.013,0,50,1.827,1.827,2.945,1,0,0,3.116,0,30,1.055,1.055,2.384,1,0,0,3.114,0,40,0.951,2.547,3.917,4,0,0,3.131,0,50,1.457,1.457,2.78,1,500,10,0.1,1 in 10,10%,2%,1 in 50 ,10,100,20,5,1 in 12 chance,1 in 10,64%,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,46,1.8,4.433,6.808,2,4,1,1,1,4,4,5,3,4,5,Male,30,1,1,1,13
5,6/21/19 19:52,6/21/19 20:05,0:13,1,If you can't be there in person send a letter.,1,1,1,5,7,2,1,2,I have carefully read and understand the instructions above.,FALSE,10,6.632,6.632,10.815,1,0,0,2.114,0,0,0,3.019,0,50,6.584,6.584,7.755,1,0,0,3.123,0,50,2.006,2.006,3.097,1,0,0,3.015,0,50,1.449,1.449,2.286,1,0,0,3.009,0,50,1.265,1.265,2.214,1,0,0,3.029,0,50,2.101,2.101,3.519,1,500,10,0.01%,1 in 10,10%,2% in ten years,2 in 100 in ten years,10,100,20,5,1 in 12 chance,10%,64%,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,3.8,3.8,8.85,1,7,1,1,1,6,5,7,6,5,7,Male,20,1,1,-1,11
6,6/21/19 19:52,6/21/19 20:10,0:18,1,"If you can't be there in person, send a letter.",1,1,2,4,6,5,4,5,I have carefully read and understand the instructions above.,FALSE,50,7.333,7.333,10.342,1,0,0,2.005,0,0,0,3.108,0,50,6.071,6.071,7.641,1,0,0,3.033,0,50,2.22,4.243,4.996,2,0,0,3.008,0,50,2.192,2.192,3.281,1,0,0,3.007,0,50,2.83,2.83,5.382,1,0,0,3.112,0,50,2.06,2.06,10.079,1,500,10,0.001,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,90,100,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,2.168,2.168,4.261,1,7,1,1,1,5,5,4,3,4,7,Male,32,1,1,1,13
7,6/21/19 19:55,6/21/19 20:19,0:24,1,"If you can't be there in person, send a letter.",1,2,1,1,6,5,6,6,I have carefully read and understand the instructions above.,TRUE,50,34.414,94.214,95.452,6,0,0,2.007,0,0,0,3.005,0,30,6.983,10.001,10.944,3,0,0,3.005,0,50,9.964,51.548,52.765,31,0,0,3.006,0,50,4.716,62.579,78.291,39,0,0,3.106,0,40,0.383,0.879,5.833,2,0,0,3.107,0,30,2.169,5.297,6.848,4,500,10,1,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,11,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall keeping,77,0.898,4.18,5.376,5,5,3,3,1,1,5,6,2,6,5,Male,21,1,1,1,12
8,6/21/19 20:24,6/21/19 20:32,0:08,1,"If you can't be there in person, send a letter.",1,1,1,6,6,5,3,5,I have carefully read and understand the instructions above.,FALSE,0,7.148,7.148,8.688,1,0,0,2.113,0,0,0,3.008,0,0,2.668,2.668,3.578,1,0,0,3.012,0,0,2.436,2.436,3.616,1,0,0,3.01,0,0,1.462,1.462,2.21,1,0,0,3.007,0,0,1.351,1.351,2.453,1,0,0,3.113,0,0,1.666,1.666,4.038,1,500,10,0.1,1 in 10,10%,2,2 in 100,10,100,20,5,1 in 12 chance,50,64%,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,0,1.524,2.7,5.285,2,7,1,1,1,6,6,5,5,6,7,Male,38,1,1,0,13
9,6/21/19 20:24,6/21/19 20:40,0:16,1,"If you can't be there in person, send a letter. ",1,1,1,7,7,7,7,7,I have carefully read and understand the instructions above.,FALSE,50,10.875,10.875,15.407,1,0,0,2.106,0,0,0,3.007,0,10,5.934,11.089,12.638,2,0,0,3.007,0,50,2.525,2.525,4.028,1,0,0,3.007,0,0,11.483,11.483,21.263,1,0,0,3.007,0,10,1.265,1.265,2.16,1,0,0,3.007,0,20,1.554,1.554,2.32,1,500,1,1,1 in 10,10%,2%,2%,10,100,20%,0.05,1 in 12 chance,90%,64%,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,25,9.475,16.36,17.374,2,7,1,1,1,7,7,7,7,7,1,Male,23,1,1,1,10
10,6/21/19 21:27,6/21/19 21:35,0:08,1,"If you can't be there in person, send a letter.",2,1,3,5,5,4,4,5,I have carefully read and understand the instructions above.,TRUE,10,1.885,3.787,5.248,3,0,0,3.205,0,0,0,4.083,0,20,5.205,5.205,6.085,1,0,0,3.076,0,10,1.301,1.301,2.058,1,0,0,4.977,0,20,8.156,9.055,9.744,2,0,0,4.536,0,10,3.111,3.111,3.836,1,0,0,3.008,0,10,1.7,1.7,2.445,1,500,1,0.1,1 in 10,10%,2,2,10,1,20,2,1 in 12 chance,10,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,15,3.025,3.025,3.789,1,5,2,1,2,4,5,4,3,4,7,Female,23,1,1,1,10
