"","a","b","c","d","e","id"
"1",0,0,10,10,10,1
"2",50,50,50,50,50,2
"3",0,0,0,0,0,3
"4",50,50,30,40,50,4
"5",50,50,50,50,50,6
"6",30,50,50,40,30,7
"7",10,50,0,10,20,9
"8",20,10,20,10,10,10
"9",30,40,20,20,30,11
"10",50,60,50,40,60,12
"11",30,30,30,30,30,13
"12",50,50,50,50,50,14
"13",10,0,0,10,10,15
"14",30,30,50,50,40,17
"15",20,10,20,30,10,18
"16",10,20,20,10,10,20
"17",50,50,50,50,50,22
"18",10,20,10,10,20,26
"19",50,50,50,50,50,31
"20",50,50,70,50,90,33
"21",50,50,50,50,50,34
"22",50,50,50,50,50,35
"23",0,0,0,0,0,36
"24",50,50,50,50,50,37
"25",20,20,30,20,30,38
"26",50,50,50,50,50,40
"27",0,0,0,0,0,41
"28",50,50,50,50,40,42
"29",10,10,0,0,0,43
"30",40,50,40,50,50,44
"31",50,50,40,50,50,45
"32",50,50,50,50,50,46
"33",50,50,50,50,50,49
"34",0,0,0,0,0,54
"35",40,30,30,20,30,57
"36",50,40,30,40,50,59
"37",50,50,50,50,50,60
"38",10,0,0,0,0,66
"39",20,30,20,30,50,67
"40",50,50,50,50,50,68
"41",20,20,30,40,30,71
"42",0,0,0,0,0,75
"43",10,20,10,30,10,76
"44",10,10,10,10,10,78
"45",30,30,30,40,20,79
"46",50,50,50,50,50,80
"47",20,20,20,20,20,81
"48",30,20,30,20,20,82
"49",20,30,20,30,10,83
"50",40,40,40,40,40,84
"51",10,10,20,0,0,85
"52",10,20,30,50,50,89
"53",20,20,30,30,50,90
"54",0,0,0,0,0,91
"55",0,0,0,0,0,92
"56",50,20,10,50,50,95
"57",0,0,0,0,0,97
"58",50,50,50,50,50,98
"59",50,50,50,50,50,100
"60",20,20,20,20,20,101
"61",40,40,40,50,40,102
"62",40,30,30,30,10,104
"63",100,90,90,100,90,105
"64",50,40,30,20,20,106
"65",60,70,70,60,40,108
"66",50,50,50,50,50,111
"67",30,20,40,40,30,112
"68",50,50,50,30,40,117
"69",10,10,10,10,10,119
"70",0,0,0,0,0,120
"71",10,0,10,30,10,121
"72",50,50,50,50,50,122
"73",50,50,50,50,50,125
"74",30,30,20,30,30,126
"75",20,20,10,0,10,127
"76",0,0,0,0,0,129
"77",0,0,0,0,0,131
"78",30,30,30,40,40,132
"79",90,70,80,90,70,133
"80",50,50,50,50,50,136
"81",50,50,50,50,50,137
"82",40,40,40,50,50,138
"83",90,80,70,90,80,141
"84",0,20,10,10,10,142
"85",30,20,20,20,20,143
"86",50,60,30,50,40,145
"87",50,50,50,50,50,146
"88",20,10,0,0,10,148
"89",0,0,0,0,0,149
"90",10,20,30,40,50,151
"91",30,30,30,30,30,152
"92",0,0,0,0,0,153
"93",40,40,40,40,40,154
"94",50,50,50,50,50,155
"95",50,50,50,50,50,157
"96",100,80,90,80,90,158
"97",50,40,30,50,40,159
"98",90,90,100,100,90,160
"99",0,0,10,0,0,161
"100",40,40,20,30,40,162
"101",100,100,90,80,90,163
"102",0,0,0,0,0,168
"103",40,50,40,60,30,169
"104",30,30,30,30,30,176
"105",50,50,50,100,90,177
"106",100,100,90,100,90,179
"107",70,70,60,80,80,181
"108",50,50,50,50,50,184
"109",0,0,0,0,0,187
"110",50,10,0,0,0,188
"111",0,0,0,0,0,189
"112",50,30,40,50,40,192
"113",0,0,0,0,0,193
"114",30,30,30,30,30,194
"115",0,0,0,0,0,197
"116",50,50,50,50,50,198
"117",50,50,50,50,50,199
"118",0,10,10,10,0,200
"119",40,40,40,40,40,201
"120",50,50,50,50,50,202
"121",0,0,0,0,0,204
"122",50,50,50,50,50,205
"123",20,20,10,10,10,210
"124",40,40,40,40,40,211
"125",50,50,50,50,50,212
"126",50,50,50,50,70,214
"127",50,50,50,50,50,216
"128",0,0,0,0,0,218
"129",30,50,0,20,50,219
"130",50,50,50,50,50,220
"131",40,30,10,0,30,223
"132",50,50,50,50,50,224
"133",40,50,40,50,40,225
"134",10,10,20,10,10,226
"135",30,40,40,50,40,228
"136",50,50,50,50,50,231
"137",20,10,30,10,20,232
"138",60,60,60,50,60,233
"139",50,50,50,50,50,234
"140",0,0,0,0,0,236
"141",0,0,0,0,0,237
"142",50,50,50,50,50,239
"143",10,10,10,10,10,240
"144",50,50,50,50,50,241
"145",30,20,20,10,10,242
"146",50,60,30,80,30,243
"147",50,30,40,40,30,244
"148",10,20,10,20,30,245
"149",0,0,0,0,0,246
"150",50,40,50,40,40,247
"151",50,50,50,50,50,248
"152",50,50,50,50,50,250
"153",0,0,0,0,0,251
"154",50,40,60,50,50,253
"155",10,10,10,20,10,254
"156",50,50,50,50,50,255
"157",30,30,40,50,30,256
"158",50,50,50,50,50,257
"159",30,0,0,0,0,258
"160",10,0,0,0,0,260
"161",20,30,20,30,20,261
"162",30,40,30,50,30,266
"163",50,70,40,50,60,267
"164",20,20,20,20,20,269
"165",50,50,50,50,50,270
"166",40,30,50,30,40,271
"167",10,10,50,10,10,273
"168",10,20,30,10,20,275
"169",10,10,20,0,0,276
"170",50,40,50,40,50,277
"171",0,0,0,0,0,278
"172",50,50,50,50,50,284
"173",50,50,40,40,30,286
"174",30,30,40,20,20,289
"175",100,100,0,0,0,290
"176",90,90,90,90,90,291
"177",10,10,20,20,10,294
"178",50,50,50,50,50,295
"179",50,50,50,50,50,296
"180",20,30,20,50,50,298
"181",50,50,50,50,50,299
"182",50,50,50,50,50,303
"183",40,40,40,40,40,305
"184",50,50,50,60,50,306
"185",50,50,50,50,50,308
"186",50,50,50,50,50,311
"187",30,30,30,30,30,312
"188",40,0,40,50,0,313
"189",0,0,0,0,0,314
"190",10,10,10,10,10,315
"191",10,10,10,10,10,316
"192",30,10,10,20,30,317
"193",0,10,10,0,0,318
"194",20,20,30,20,40,319
"195",50,50,50,50,50,322
"196",50,50,50,50,50,323
"197",40,30,20,20,20,326
"198",40,50,40,40,50,327
"199",30,20,20,20,20,328
"200",30,30,30,30,30,330
"201",40,30,40,30,40,331
"202",20,20,20,20,20,333
"203",0,0,0,0,0,334
"204",40,30,20,10,50,335
"205",50,50,50,50,50,338
"206",20,10,10,10,10,339
"207",10,10,10,10,10,340
"208",60,70,70,30,0,341
"209",50,50,50,50,50,343
"210",10,20,10,10,10,345
"211",0,0,0,0,0,346
"212",0,10,0,10,0,347
"213",30,20,20,30,10,348
"214",20,40,40,20,30,349
