id,StartDate,EndDate,studytime,bottest_filter,handw,discomfort1_1,discomfort1_2,discomfort1_3,discomfort1_4,discomfort1_5,discomfort1_6,discomfort1_7,discomfort1_8,dginstrux,comp2,fairQ_1,fairQ_rt_First Click,fairQ_rt_Last Click,fairQ_rt_Page Submit,fairQ_rt_Click Count,assignrt_First Click,assignrt_Last Click,assignrt_Page Submit,assignrt_Click Count,forced,preventRT_First Click,preventRT_Last Click,preventRT_Page Submit,preventRT_Click Count,comp1,r1_rt_First Click,r1_rt_Last Click,r1_rt_Page Submit,r1_rt_Click Count,dg1,dg1_rt_First Click,dg1_rt_Last Click,dg1_rt_Page Submit,dg1_rt_Click Count,r2_rt_First Click,r2_rt_Last Click,r2_rt_Page Submit,r2_rt_Click Count,dg2,dg2_rt_First Click,dg2_rt_Last Click,dg2_rt_Page Submit,dg2_rt_Click Count,r3_rt_First Click,r3_rt_Last Click,r3_rt_Page Submit,r3_rt_Click Count,dg3,dg3_rt_First Click,dg3_rt_Last Click,dg3_rt_Page Submit,dg3_rt_Click Count,r4_rt_First Click,r4_rt_Last Click,r4_rt_Page Submit,r4_rt_Click Count,dg4,dg4_rt_First Click,dg4_rt_Last Click,dg4_rt_Page Submit,dg4_rt_Click Count,r5_rt_First Click,r5_rt_Last Click,r5_rt_Page Submit,r5_rt_Click Count,dg5,dg5_rt_First Click,dg5_rt_Last Click,dg5_rt_Page Submit,dg5_rt_Click Count,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,compcheck,memQ_4,memQrt_First Click,memQrt_Last Click,memQrt_Page Submit,memQrt_Click Count,conf,discomfort3_1,discomfort3_2,discomfort3_3,discomfort3_4,discomfort3_5,discomfort3_6,discomfort3_7,discomfort3_8,responsible,gender,age,deception1,deception2,feedbackexcl,dgXP,id,dg1,dg2,dg3,dg4,dg5,Numeracy
1,7/12/19 7:45,7/12/19 7:51,0:06,1,"If you can't be there in person, send a letter.",4,5,4,6,6,5,3,2,I have carefully read and understand the instructions above.,TRUE,50,5.035,5.035,6.13,1,0,0,2.008,0,I have carefully read and understand the instructions above.,9.065,9.065,10.003,1,FALSE,0,0,3.008,0,0,3.183,3.183,4.066,1,0,0,3.008,0,0,2.286,3.101,4.856,2,0,0,3.007,0,0,2.944,2.944,3.693,1,0,0,3.007,0,0,1.483,1.483,2.54,1,0,0,3.006,0,0,1.03,1.03,1.892,1,600,100,0.1,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,9,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,0,1.163,3.676,5.222,2,"
7",5,5,5,5,5,6,4,4,1,Female,36,1,1,0,2,77,0,0,0,0,0,11
2,7/12/19 7:46,7/12/19 7:52,0:06,1,"If you can't be there in person, send a letter.",5,4,4,4,4,4,4,3,I have carefully read and understand the instructions above.,FALSE,0,2.181,2.181,5.351,1,0,0,2.01,0,I have carefully read and understand the instructions above.,2.288,2.288,11.782,1,FALSE,0,0,3.108,0,10,2.618,2.618,3.722,1,0,0,3.009,0,10,1.797,1.797,2.509,1,0,0,3.008,0,10,1.571,1.571,2.244,1,0,0,3.009,0,20,1.562,1.562,2.296,1,0,0,3.008,0,20,1.657,1.657,2.338,1,500,10,0.1,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,1,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,13,4.015,16.269,16.878,3,"
7",4,4,4,4,4,4,4,3,1,Male,33,1,1,0,2,531,10,10,10,20,20,13
3,7/12/19 7:45,7/12/19 7:52,0:07,1,"If you can't be there in person, send a letter.",4,2,4,3,6,5,6,5,I have carefully read and understand the instructions above.,FALSE,30,2.929,6.229,7.201,2,0,0,2.006,0,I have carefully read and understand the instructions above.,10.275,10.275,11.399,1,FALSE,0,0,3.107,0,50,2.948,2.948,3.779,1,0,0,3.106,0,50,1.908,1.908,2.717,1,0,0,3.008,0,50,1.184,1.184,1.996,1,0,0,3.008,0,50,1.358,1.358,2.154,1,0,0,3.107,0,40,1.47,1.47,2.521,1,500,10,0.001,1 in 10,10%,2,0.02,10,100,20,5,1 in 12 chance,90,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,48,1.359,4.436,5.65,2,"
7",4,3,4,4,6,4,4,3,1,Female,24,1,1,1,2,28,50,50,50,50,40,14
4,7/12/19 7:44,7/12/19 7:52,0:08,1,"If you can't be there in person, send a letter.",4,1,1,4,5,4,3,4,I have carefully read and understand the instructions above.,FALSE,40,3.711,3.711,5.564,1,0,0,3.605,0,I have carefully read and understand the instructions above.,11.537,11.537,12.473,1,FALSE,0,0,3.006,0,50,4.412,4.412,5.643,1,0,0,3.006,0,50,2.098,2.098,2.961,1,0,0,3.007,0,50,1.597,1.597,3.203,1,0,0,3.006,0,50,1.952,1.952,2.821,1,0,0,3.006,0,50,1.33,3.076,3.729,3,500,10,0.1,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,90,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,4.124,4.124,5.867,1,"
7",3,1,1,5,6,4,5,5,1,Male,26,1,1,1,3,651,50,50,50,50,50,14
5,7/12/19 7:44,7/12/19 7:52,0:08,1,"If you can't be there in person, send a letter.",1,1,2,4,4,4,2,4,I have carefully read and understand the instructions above.,TRUE,40,4.141,5.722,6.908,2,0,0,2.015,0,I have carefully read and understand the instructions above.,1.616,1.616,14.317,1,FALSE,0,0,3.016,0,0,2.306,4.715,5.553,3,0,0,3.008,0,0,2.351,2.351,3.157,1,0,0,3.026,0,0,3.272,3.272,3.979,1,0,0,3.016,0,0,2.038,2.038,2.736,1,0,0,3.019,0,0,8.767,8.767,9.491,1,500,10,0.1,1 in 100,10%,2%,2%,10,100,20,5,1 in 12 chance,50%,64%,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,0,1.095,1.782,2.627,2,"
7",1,1,1,4,4,3,1,4,1,Male,29,0,1,1,2,432,0,0,0,0,0,12
6,7/12/19 7:45,7/12/19 7:53,0:08,1,"regular old put-a-stamp-on-it mail mail.
if you can't be there in person,send a letter.
And if you have trouble finding the time,let us help you!",1,1,3,4,6,6,7,7,I have carefully read and understand the instructions above.,TRUE,50,3.193,4.237,5.171,2,0,0,2.21,0,I have carefully read and understand the instructions above.,5.431,5.431,7.236,1,TRUE,0,0,3.074,0,50,2.4,2.4,3.607,1,0,0,3.009,0,50,3.358,12.654,26.447,6,0,0,3.104,0,40,2.529,2.529,4.04,1,0,0,3.37,0,50,3.188,3.188,4.188,1,0,0,3.105,0,50,3.061,3.061,4.576,1,100,100,100,1 in 10,10%,2,2,10,100,2,500,1 in 12 chance,,,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall keeping,50,2.292,2.292,3.88,1,5,1,1,4,7,7,5,7,7,5,Male,32,1,1,1,1,31,50,50,40,50,50,8
7,7/12/19 7:46,7/12/19 7:53,0:07,1,"If you can't be there in person, send a letter.",2,2,2,6,5,6,5,6,I have carefully read and understand the instructions above.,FALSE,0,12.555,13.251,15.074,2,0,0,2.011,0,I have carefully read and understand the instructions above.,3.281,14.342,15.173,4,FALSE,0,0,3.014,0,0,2.8,4.857,5.667,2,0,0,3.011,0,0,1.738,1.738,2.568,1,0,0,3.01,0,0,1.201,1.201,2.999,1,0,0,3.009,0,0,1.159,1.159,2.161,1,0,0,3.009,0,0,0.778,0.778,3.002,1,500,10,0.01,1 in 10,10%,2,2 in 100,10,100,20,50,1 in 12 chance,10,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,0,1.892,6.501,8.348,5,"
7",2,1,1,6,6,6,4,5,2,Female,34,1,1,1,2,267,0,0,0,0,0,11
8,7/12/19 7:45,7/12/19 7:53,0:08,1,"If you can't be there in person, send a letter. ",4,1,1,5,5,1,5,3,I have carefully read and understand the instructions above.,FALSE,20,6.522,12.375,13.216,2,0,0,2.108,0,I have carefully read and understand the instructions above.,17.836,17.836,19.146,1,FALSE,0,0,3.007,0,90,5.17,5.17,6.186,1,0,0,3.207,0,90,7.338,7.338,8.043,1,0,0,3.01,0,100,1.912,1.912,2.965,1,0,0,3.207,0,90,3.347,3.347,4.195,1,0,0,3.008,0,80,3.314,3.314,4.069,1,500,10,0.1,1 in 10,10%,2,20,10,1,20,5,1 in 12 chance,90,2,"They both tested positive for SARS, and the doctor is more likely to have the disease",Report the average percent of the stake that you recall transferring,95,2.157,6.381,8.964,2,"
7",6,4,1,1,4,6,2,1,1,Male,44,1,1,1,1,564,90,90,100,90,80,11
9,7/12/19 7:46,7/12/19 7:53,0:07,1,"If you can't be there in person, send a letter.",1,1,1,6,6,4,4,5,I have carefully read and understand the instructions above.,FALSE,10,4.848,4.848,5.661,1,0,0,2.008,0,I have carefully read and understand the instructions above.,11.12,11.12,12.215,1,FALSE,0,0,3.108,0,0,3.278,7.887,8.588,3,0,0,3.008,0,0,2.191,3.014,3.275,2,0,0,3.008,0,0,0.946,0.946,1.934,1,0,0,3.007,0,0,1.309,2.076,2.425,2,0,0,3.107,0,0,0.977,0.977,1.75,1,500,10,0.001,1 in 10,10%,2,2,10,100,20,5,1 in 12 chance,9,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,0,2.57,2.57,3.198,1,6,1,1,1,5,6,4,2,5,1,Female,20,1,1,1,2,326,0,0,0,0,0,13
10,7/12/19 7:45,7/12/19 7:53,0:08,1,"If you can't be there in person, send a letter.",1,1,1,5,6,5,3,5,I have carefully read and understand the instructions above.,TRUE,10,4.859,4.859,5.688,1,0,0,2.11,0,I have carefully read and understand the instructions above.,12.954,12.954,14.2,1,FALSE,0,0,3.123,0,50,3.327,3.327,4.251,1,0,0,3.022,0,50,1.742,1.742,2.378,1,0,0,3.007,0,50,2.134,2.134,3.002,1,0,0,3.007,0,50,1.62,2.797,3.417,2,0,0,3.108,0,50,1.464,1.464,2.061,1,500,10,1%,1 in 10,10%,2%,1 in 50,10,100,20$,10,1 in 12 chance,90%,64%,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,50,3.705,3.705,4.717,1,"
7",1,1,1,6,6,5,3,3,1,Female,30,1,1,1,2,396,50,50,50,50,50,12
