id,StartDate,EndDate,studytime,bottest_filter,handw,discomfort1_1,discomfort1_2,discomfort1_3,discomfort1_4,discomfort1_5,discomfort1_6,discomfort1_7,discomfort1_8,dginstrux,comp2,fairQ_1,fairQ_rt_First Click,fairQ_rt_Last Click,fairQ_rt_Page Submit,fairQ_rt_Click Count,assignrt_First Click,assignrt_Last Click,assignrt_Page Submit,assignrt_Click Count,forced,preventRT_First Click,preventRT_Last Click,preventRT_Page Submit,preventRT_Click Count,comp1,r1_rt_First Click,r1_rt_Last Click,r1_rt_Page Submit,r1_rt_Click Count,dg1,dg1_rt_First Click,dg1_rt_Last Click,dg1_rt_Page Submit,dg1_rt_Click Count,r2_rt_First Click,r2_rt_Last Click,r2_rt_Page Submit,r2_rt_Click Count,dg2,dg2_rt_First Click,dg2_rt_Last Click,dg2_rt_Page Submit,dg2_rt_Click Count,r3_rt_First Click,r3_rt_Last Click,r3_rt_Page Submit,r3_rt_Click Count,dg3,dg3_rt_First Click,dg3_rt_Last Click,dg3_rt_Page Submit,dg3_rt_Click Count,r4_rt_First Click,r4_rt_Last Click,r4_rt_Page Submit,r4_rt_Click Count,dg4,dg4_rt_First Click,dg4_rt_Last Click,dg4_rt_Page Submit,dg4_rt_Click Count,r5_rt_First Click,r5_rt_Last Click,r5_rt_Page Submit,r5_rt_Click Count,dg5,dg5_rt_First Click,dg5_rt_Last Click,dg5_rt_Page Submit,dg5_rt_Click Count,num1,num2,num3,num4,num5,num6,num7,num8a,num8b,num9,num10,num11,num12,num13,num14,compcheck,memQ_4,memQrt_First Click,memQrt_Last Click,memQrt_Page Submit,memQrt_Click Count,conf,discomfort3_1,discomfort3_2,discomfort3_3,discomfort3_4,discomfort3_5,discomfort3_6,discomfort3_7,discomfort3_8,responsible,gender,age,deception1,deception2,feedbackexcl,dgXP,id,dg1,dg2,dg3,dg4,dg5,Numeracy
1,7/14/19 18:01,7/14/19 18:07,0:06,1,"If you can't be there in person, send a letter.",2,3,4,6,6,6,5,5,I have carefully read and understand the instructions above.,FALSE,50,4.589,4.589,5.56,1,0,0,2.117,0,I have carefully read and understand the instructions above.,14.938,14.938,15.963,1,FALSE,0,0,3.153,0,50,2.14,2.14,3.28,1,0,0,3.01,0,50,1.799,1.799,2.951,1,0,0,3.011,0,50,1.693,1.693,2.833,1,0,0,3.009,0,50,4.802,4.802,5.65,1,0,0,3.023,0,50,1.677,1.677,2.79,1,500,250,0.10%,1 in 10,10%,20,35,10,1,20,5,1 in 12 chance,10,16,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,1.308,3.667,4.581,4,6,5,4,3,5,5,6,5,5,1,Female,30,1,1,1,2,94,50,50,50,50,50,8
2,7/14/19 18:00,7/14/19 18:08,0:08,1,",If you can't be there in person, send a letter.",2,1,1,6,6,4,2,2,I have carefully read and understand the instructions above.,FALSE,40,6.044,7.152,8.085,8,0,0,2.114,0,I have carefully read and understand the instructions above.,16.683,16.683,17.425,1,FALSE,0,0,3.115,0,50,4.335,4.412,5.562,2,0,0,3.123,0,50,2.435,6.658,7.26,8,0,0,3.111,0,50,3.294,3.367,4.205,2,0,0,3.009,0,50,2.091,4.829,5.905,5,0,0,4.403,0,50,2.793,2.841,3.759,2,500,1,0.01,1 in 10,10%,2,2,10,100,20,1,1 in 12 chance,10,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,3.468,4.852,5.859,5,6,2,1,1,6,6,4,3,3,1,Male,40,1,1,0,3,545,50,50,50,50,50,10
3,7/14/19 18:00,7/14/19 18:08,0:08,1,mail mail.,1,1,1,6,5,5,1,1,I have carefully read and understand the instructions above.,FALSE,50,5.931,5.931,7.492,1,0,0,2.115,0,I have carefully read and understand the instructions above.,12.566,12.566,15.078,1,FALSE,0,0,3.113,0,80,4.378,4.378,5.703,1,0,0,3.013,0,80,1.83,1.83,2.903,1,0,0,3.113,0,80,2.204,2.204,3.118,1,0,0,3.116,0,80,2.593,2.593,3.981,1,0,0,3.011,0,80,2.485,2.485,3.804,1,500,10,1,1 in 10,10%,2,2,10,100,20,50,1 in 12 chance,10,16,"They both tested positive for SARS, and the doctor is more likely to have the disease",Report the average percent of the stake that you recall transferring,80,2.547,5.058,6.173,3,7,1,1,2,3,3,1,1,1,1,Female,33,1,1,0,2,468,80,80,80,80,80,10
4,7/14/19 18:00,7/14/19 18:08,0:08,1,"If you can't be there in person, send a letter.",4,5,3,6,3,5,3,3,I have carefully read and understand the instructions above.,FALSE,60,5.182,5.182,6.72,1,0,0,2.005,0,I have carefully read and understand the instructions above.,27.588,27.588,28.638,1,FALSE,0,0,3.104,0,50,7.525,7.525,8.581,1,0,0,3.004,0,50,2.185,2.185,3.692,1,0,0,3.005,0,50,2.491,2.491,7.645,1,0,0,3.005,0,50,1.857,1.857,3.051,1,0,0,3.004,0,50,1.231,1.231,2.223,1,450,100,1,1 in 10,10%,1,2,10,100,20,0.05,1 in 12 chance,19,4,"They both tested positive for SARS, and the doctor is more likely to have the disease",Report the average percent of the stake that you recall keeping,50,2.247,11.83,12.673,2,5,5,5,5,5,5,4,5,6,5,Male,33,1,1,1,2,400,50,50,50,50,50,7
5,7/14/19 18:00,7/14/19 18:08,0:08,1,"If you can't be there in person, send a letter.",1,1,1,7,7,7,5,7,I have carefully read and understand the instructions above.,TRUE,50,3.453,3.453,4.36,1,0,0,3.152,0,I have carefully read and understand the instructions above.,7.652,7.652,8.744,1,FALSE,0,0,3.007,0,50,3.126,3.126,4.077,1,0,0,3.108,0,40,2.145,3.009,3.465,2,0,0,4.769,0,40,2.175,2.175,2.836,1,0,0,3.008,0,50,1.695,2.313,2.701,2,0,0,4.749,0,40,17.289,19.108,19.796,2,500,10,0.01,1 in 1000,10%,2,2,10,100,20,50,1 in 12 chance,10,8,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall keeping,52,2.558,2.558,4.12,1,5,2,2,2,7,7,7,7,7,7,Female,27,1,1,1,1,609,50,40,40,50,40,10
6,7/14/19 18:04,7/14/19 18:09,0:05,1,"If you can't be there in person, send a letter.",4,5,4,4,4,5,5,4,I have carefully read and understand the instructions above.,TRUE,20,6.231,6.231,7.186,1,0,0,2.11,0,I have carefully read and understand the instructions above.,1.023,1.023,6.168,1,FALSE,0,0,3.008,0,10,3.236,9.344,10.435,3,0,0,3.008,0,50,2.256,3.262,4.112,3,0,0,3.108,0,0,2.469,2.469,3.572,1,0,0,3.007,0,10,2.195,2.195,3.301,1,0,0,3.007,0,20,4.908,5.62,6.736,2,500,100,10,1 in 10,10%,2,4,10,100,20,5,1 in 12 chance,30,6,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall keeping,32,0.912,2.341,4.139,2,4,4,5,5,4,5,5,4,4,5,Female,22,1,1,1,1,7,10,50,0,10,20,9
7,7/14/19 18:02,7/14/19 18:09,0:07,1,"If you can't be there in person, send a letter.",1,1,1,5,4,3,2,5,I have carefully read and understand the instructions above.,TRUE,50,5.548,5.548,6.494,1,0,0,2.009,0,I have carefully read and understand the instructions above.,15.909,16.621,17.009,2,FALSE,0,0,3.006,0,50,2.707,2.707,4.207,1,0,0,3.007,0,50,1.065,1.065,2.291,1,0,0,3.007,0,50,1.193,1.747,3.352,2,0,0,3.106,0,50,1.226,2.115,2.872,4,0,0,3.006,0,50,1.712,1.712,2.706,1,500,100,0.1,1 in 10,10%,2,2,10,100,20,2,1 in 12 chance,10,64,They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.,Report the average percent of the stake that you recall transferring,50,1.096,3.44,4.498,3,6,2,1,1,5,5,3,3,4,1,Male,30,1,1,1,2,667,50,50,50,50,50,11
8,7/14/19 18:00,7/14/19 18:09,0:09,1,"If you cant be there in person, send a letter.",5,5,4,7,6,7,6,7,I have carefully read and understand the instructions above.,TRUE,40,2.893,2.893,4.462,1,0,0,2.014,0,I have carefully read and understand the instructions above.,28.027,28.027,29.395,1,FALSE,0,0,3.112,0,10,5.515,6.301,7.803,2,0,0,3.117,0,10,4.834,4.834,6.112,1,0,0,3.012,0,10,4.498,4.498,5.835,1,0,0,3.007,0,10,1.798,1.798,2.9,1,0,0,3.015,0,10,1.83,1.83,3.05,1,300,100,10,1 in 10,10%,2,2 in 200,10,100,20,5,1 in 12 chance,10,1,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,44,1.908,1.908,3.561,1,3,6,5,6,5,4,7,6,5,6,Male,22,1,1,1,4,318,10,10,10,10,10,9
9,7/14/19 18:01,7/14/19 18:10,0:09,1,"If you can't be there in person, send a letter.",2,1,1,5,6,6,3,3,I have carefully read and understand the instructions above.,FALSE,50,6.01,6.01,6.785,1,0,0,3.478,0,I have carefully read and understand the instructions above.,14.85,14.85,16.121,1,FALSE,0,0,3.006,0,50,2.815,3.485,3.851,2,0,0,3.007,0,50,2.083,2.083,2.725,1,0,0,3.108,0,50,2.212,2.212,2.749,1,0,0,3.007,0,50,1.795,1.795,2.364,1,0,0,3.108,0,50,1.548,1.548,2.309,1,500,10,1,1 in 10,10%,2,2,10,100,20,0.5,1 in 12 chance,90,64,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,50,2.328,4.181,5.385,2,7,1,1,2,6,6,5,3,4,1,Female,39,1,1,1,3,301,50,50,50,50,50,13
10,7/14/19 18:03,7/14/19 18:10,0:07,1,"If you can't be there in person, send a letter.",5,1,3,4,5,7,6,5,I have carefully read and understand the instructions above.,FALSE,0,3.587,3.587,5.324,1,0,0,2.009,0,I have carefully read and understand the instructions above.,2.174,8.429,9.118,11,FALSE,0,0,3.105,0,50,4.484,11.095,11.727,3,0,0,3.106,0,50,1.278,1.278,1.83,1,0,0,3.005,0,50,1.44,1.44,2.017,1,0,0,3.008,0,50,1.192,1.192,1.652,1,0,0,3.008,0,50,1.242,1.242,1.871,1,500,10,0.1,1 in 10,10%,2,1 in 50,10,100,20,0,1 in 12 chance,10,64,They both tested positive for SARS and therefore are equally likely to have the disease,Report the average percent of the stake that you recall transferring,50,2.618,2.618,3.626,1,7,4,3,4,5,4,6,5,5,1,Male,34,1,1,0,2,523,50,50,50,50,50,13
